date,baseline,is_rank_1_with_exit_profiles,is_rank_2_with_exit_profiles,is_rank_3_with_exit_profiles,risk_first_trend_runner__one_r_invalidation,risk_first_trend_runner__trend_structure_break,risk_first_trend_runner__time_and_volatility_failure,volatility_ladder__one_r_invalidation,volatility_ladder__trend_structure_break,volatility_ladder__time_and_volatility_failure,structure_ladder__one_r_invalidation,structure_ladder__trend_structure_break,structure_ladder__time_and_volatility_failure
2018-10-22,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-10-23,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-10-24,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-10-25,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-10-26,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-10-29,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-10-30,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-10-31,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-11-01,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-11-02,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-11-05,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-11-06,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-11-07,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-11-08,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
