strategy,date,equity,daily_return,holding
Top1 current-member baseline,2023-07-13,7.0925662094066935,-0.046001649098999065,CVNA
Top1 current-member baseline,2023-07-14,7.335149038120851,0.03420240594898161,CVNA
Top1 current-member baseline,2023-07-17,7.510126963870191,0.023854719902755672,CVNA
Top1 current-member baseline,2023-07-18,7.277486283627895,-0.030976930398312397,CVNA
Top1 current-member baseline,2023-07-19,10.735286542456798,0.47513662328816597,CVNA
Top1 current-member baseline,2023-07-20,10.61200617693084,-0.011483658590611179,CVNA
Top1 current-member baseline,2023-07-21,9.37324349028223,-0.11673218673218677,CVNA
Top1 current-member baseline,2023-07-24,9.106799410422063,-0.028426027781781604,CVNA
Top1 current-member baseline,2023-07-25,9.2161611473416,0.012008800456764224,CVNA
Top1 current-member baseline,2023-07-26,8.848309238966477,-0.039913788669074024,CVNA
Top1 current-member baseline,2023-07-27,8.679296507486706,-0.01910113298656735,CVNA
Top1 current-member baseline,2023-07-28,8.45858668985128,-0.025429459339825766,CVNA
Top1 current-member baseline,2023-07-31,8.548063181691633,0.010578184644925104,CVNA
Top1 current-member baseline,2023-08-01,8.880123924449338,0.038846313568308366,CVNA
Top1 current-member baseline,2023-08-02,9.5740699591094,0.07814598541237072,CVNA
Top1 current-member baseline,2023-08-03,10.158655204985388,0.06105922020339705,CVNA
Top1 current-member baseline,2023-08-04,10.389307171092673,0.022704970436844052,CVNA
Top1 current-member baseline,2023-08-07,9.202241570599716,-0.11425839865394116,CVNA
Top1 current-member baseline,2023-08-08,8.760820987193403,-0.04796881064463787,CVNA
Top1 current-member baseline,2023-08-09,9.446813113448885,0.07830226496560844,CVNA
Top1 current-member baseline,2023-08-10,8.323375935786185,-0.11892234599870788,CVNA
Top1 current-member baseline,2023-08-11,7.661244112541252,-0.07955087314969289,CVNA
Top1 current-member baseline,2023-08-14,7.943594587007387,0.03685438948537545,CVNA
Top1 current-member baseline,2023-08-15,8.109624484318505,0.02090110408991408,CVNA
Top1 current-member baseline,2023-08-16,7.738791163977927,-0.04572755755308455,CVNA
Top1 current-member baseline,2023-08-17,7.535975981015748,-0.02620760512394127,CVNA
Top1 current-member baseline,2023-08-18,7.31526521524486,-0.02928761534363855,CVNA
Top1 current-member baseline,2023-08-21,7.838210278357872,0.07148682210772139,CVNA
Top1 current-member baseline,2023-08-22,8.152374964239135,0.04008117602416261,CVNA
Top1 current-member baseline,2023-08-23,7.508138723802911,-0.0790243632392037,CVNA
Top1 current-member baseline,2023-08-24,8.046990655589621,0.07176904311562571,CVNA
Top1 current-member baseline,2023-08-25,7.526034306611621,-0.06473927599457718,CVNA
Top1 current-member baseline,2023-08-28,8.309457307179768,0.10409506104428856,CVNA
Top1 current-member baseline,2023-08-29,8.842344518764639,0.06413020632820765,CVNA
Top1 current-member baseline,2023-08-30,9.458743501988025,0.06970990351204986,CVNA
Top1 current-member baseline,2023-08-31,9.918060142270779,0.04856000590207521,CVNA
Top1 current-member baseline,2023-09-01,10.053270896335874,0.013632782230148743,CVNA
Top1 current-member baseline,2023-09-05,9.910107182001662,-0.014240510955135122,CVNA
Top1 current-member baseline,2023-09-06,9.838524850766824,-0.007223164181800468,CVNA
Top1 current-member baseline,2023-09-07,9.798757205014846,-0.00404203336934994,CVNA
Top1 current-member baseline,2023-09-08,9.440848393247046,-0.036525939390010365,CVNA
Top1 current-member baseline,2023-09-11,9.411021947831465,-0.003159297149281204,CVNA
Top1 current-member baseline,2023-09-12,9.931978770877198,0.055356031038241715,CVNA
Top1 current-member baseline,2023-09-13,9.959816028090035,0.002802790647767228,CVNA
Top1 current-member baseline,2023-09-14,9.836536610699543,-0.012377680174292638,CVNA
Top1 current-member baseline,2023-09-15,11.047462988270778,0.12310495304354063,CVNA
Top1 current-member baseline,2023-09-18,10.470830702663907,-0.0521959011059,CVNA
Top1 current-member baseline,2023-09-19,10.395272839429975,-0.007216033319563664,CVNA
Top1 current-member baseline,2023-09-20,9.520383684751003,-0.08416221182386452,CVNA
Top1 current-member baseline,2023-09-21,8.724035227474612,-0.08364667681954019,CVNA
Top1 current-member baseline,2023-09-22,8.726024415677356,0.00022801239917957794,CVNA
Top1 current-member baseline,2023-09-25,8.208049478664812,-0.05935978543469811,CVNA
Top1 current-member baseline,2023-09-26,7.814349975347326,-0.0479650499598997,CVNA
Top1 current-member baseline,2023-09-27,8.018158804275412,0.026081354120440103,CVNA
Top1 current-member baseline,2023-09-28,7.618494106688356,-0.04984494661965888,CVNA
Top1 current-member baseline,2023-09-29,8.44864454137942,0.1089651607083697,CVNA
Top1 current-member baseline,2023-10-02,8.25179455268681,-0.023299594121694356,CVNA
Top1 current-member baseline,2023-10-03,7.695046564023659,-0.06746992852383515,CVNA
Top1 current-member baseline,2023-10-04,7.651302438137123,-0.005684712304542927,CVNA
Top1 current-member baseline,2023-10-05,7.450475495242223,-0.026247419249028625,CVNA
Top1 current-member baseline,2023-10-06,6.9334956263987815,-0.06938884225222652,CVNA
Top1 current-member baseline,2023-10-09,7.309300495043021,0.05420135655864411,CVNA
Top1 current-member baseline,2023-10-10,7.796454392538612,0.06664849773599624,CVNA
Top1 current-member baseline,2023-10-11,7.84616418676245,0.0063759488250725305,CVNA
Top1 current-member baseline,2023-10-12,7.203915712325774,-0.08185508984380385,CVNA
Top1 current-member baseline,2023-10-13,6.762494654851729,-0.06127515577657039,CVNA
Top1 current-member baseline,2023-10-16,6.784366717794997,0.0032343187033170295,CVNA
Top1 current-member baseline,2023-10-17,6.758517700649438,-0.00381008548340378,CVNA
Top1 current-member baseline,2023-10-18,6.714773574762902,-0.006472443784874993,CVNA
Top1 current-member baseline,2023-10-19,6.460260357509606,-0.037903469777427756,CVNA
Top1 current-member baseline,2023-10-20,6.253468220345137,-0.032009876649025104,CVNA
Top1 current-member baseline,2023-10-23,6.0645716659893765,-0.030206686545747652,CVNA
Top1 current-member baseline,2023-10-24,6.36084076906193,0.04885243664182504,CVNA
Top1 current-member baseline,2023-10-25,6.217677528795449,-0.022506968098117253,CVNA
Top1 current-member baseline,2023-10-26,5.845849614353499,-0.059801736696689756,CVNA
Top1 current-member baseline,2023-10-27,5.891582454375047,0.007823129748199209,CVNA
Top1 current-member baseline,2023-10-30,5.760349128579974,-0.02227471597170294,CVNA
Top1 current-member baseline,2023-10-31,5.527707974269946,-0.04038664135057002,CVNA
Top1 current-member baseline,2023-11-01,5.271206516949371,-0.04640285965078539,CVNA
Top1 current-member baseline,2023-11-02,5.633092282919461,0.06865330827135296,CVNA
Top1 current-member baseline,2023-11-03,5.706662380153847,0.013060339426262058,CVNA
Top1 current-member baseline,2023-11-06,6.5596794718895515,0.1494774063912132,CVNA
Top1 current-member baseline,2023-11-07,6.5676329062264,0.0012124730134959183,CVNA
Top1 current-member baseline,2023-11-08,6.76050641478445,0.029367279096125687,CVNA
Top1 current-member baseline,2023-11-09,6.840041706288406,0.01176469433266436,CVNA
Top1 current-member baseline,2023-11-10,6.104339311741355,-0.10755817378579446,CVNA
Top1 current-member baseline,2023-11-13,5.7444417858385455,-0.058957654141303495,CVNA
Top1 current-member baseline,2023-11-14,6.239549591738718,0.0861890196399473,CVNA
Top1 current-member baseline,2023-11-15,6.680970649212763,0.07074566056154041,CVNA
Top1 current-member baseline,2023-11-16,6.625296134787087,-0.00833329726306109,CVNA
Top1 current-member baseline,2023-11-17,6.3588525289946505,-0.040216105117692025,CVNA
Top1 current-member baseline,2023-11-20,6.422480951824908,0.010006274330176534,CVNA
Top1 current-member baseline,2023-11-21,6.384701546140209,-0.00588236944073206,CVNA
Top1 current-member baseline,2023-11-22,6.2912476260298344,-0.014637163450008206,CVNA
Top1 current-member baseline,2023-11-24,6.207735380323588,-0.013274353621166801,CVNA
Top1 current-member baseline,2023-11-27,6.201770186054018,-0.0009609292123625712,CVNA
Top1 current-member baseline,2023-11-28,6.112292746078202,-0.014427725841409722,CVNA
Top1 current-member baseline,2023-11-29,6.496051049059291,0.06278467326803328,CVNA
Top1 current-member baseline,2023-11-30,6.466225551779174,-0.00459132741643653,CVNA
Top1 current-member baseline,2023-12-01,6.16796773457161,-0.04612548925477844,CVNA
Top1 current-member baseline,2023-12-04,6.411851589313495,0.03954039081218119,VRT
Top1 current-member baseline,2023-12-05,6.374984417373458,-0.0057498479848602235,VRT
Top1 current-member baseline,2023-12-06,6.4501351201415975,0.011788374346976438,VRT
Top1 current-member baseline,2023-12-07,6.281401515764054,-0.026159700724818102,VRT
Top1 current-member baseline,2023-12-08,6.361493269572121,0.012750618410089842,VRT
Top1 current-member baseline,2023-12-11,6.714752025964622,0.05553079150176665,VRT
Top1 current-member baseline,2023-12-12,6.738869942271167,0.0035917806366170257,VRT
Top1 current-member baseline,2023-12-13,7.0410562231537,0.04484227822635334,VRT
Top1 current-member baseline,2023-12-14,6.859461080122124,-0.025790895183370632,VRT
Top1 current-member baseline,2023-12-15,6.719008974447858,-0.020475676446547464,VRT
Top1 current-member baseline,2023-12-18,6.771499664843996,0.007812266748825403,VRT
Top1 current-member baseline,2023-12-19,6.797037973057094,0.00377144051940026,VRT
Top1 current-member baseline,2023-12-20,6.9318152865713065,0.01982883044768302,VRT
Top1 current-member baseline,2023-12-21,6.826830216382785,-0.015145393500589188,VRT
Top1 current-member baseline,2023-12-22,6.8906720841729,0.00935161206102797,VRT
Top1 current-member baseline,2023-12-26,6.941746350339615,0.007412087753243535,VRT
Top1 current-member baseline,2023-12-27,6.937489360682818,-0.00061324477184177,VRT
Top1 current-member baseline,2023-12-28,6.94742052924478,0.0014315219880904895,VRT
Top1 current-member baseline,2023-12-29,6.928977123138868,-0.0026547127855979236,VRT
Top1 current-member baseline,2024-01-02,6.736032664436383,-0.02784602334133257,VRT
Top1 current-member baseline,2024-01-03,5.684087069255993,-0.15616693795655878,COIN
Top1 current-member baseline,2024-01-04,5.937145740147527,0.044520547945205546,COIN
Top1 current-member baseline,2024-01-05,5.94376412640711,0.001114742091444576,COIN
Top1 current-member baseline,2024-01-08,6.143486005993512,0.03360191880748964,COIN
Top1 current-member baseline,2024-01-09,6.21356391059021,0.011406863225265074,COIN
Top1 current-member baseline,2024-01-10,5.809059381958167,-0.06510024431270722,COIN
Top1 current-member baseline,2024-01-11,6.197601605698817,0.06688556583659455,COIN
Top1 current-member baseline,2024-01-12,5.34109533498901,-0.13819963353601705,COIN
Top1 current-member baseline,2024-01-16,5.039371535079874,-0.05649099688084058,COIN
Top1 current-member baseline,2024-01-17,5.081028576609431,0.008266316789618644,COIN
Top1 current-member baseline,2024-01-18,5.187702753276447,0.020994602777494986,COIN
Top1 current-member baseline,2024-01-19,4.840817571065355,-0.06686681922783766,COIN
Top1 current-member baseline,2024-01-22,4.829527522518242,-0.00233226069385406,COIN
Top1 current-member baseline,2024-01-23,4.765678897009417,-0.013220470369228132,COIN
Top1 current-member baseline,2024-01-24,4.955278049563837,0.03978429026626151,COIN
