strategy,signal_date,trade_date,action,ticker,security,sp500_date_added,price,score,skipped_not_yet_sp500_before_buy,equity_before_trade
Top1 PIT S&P membership,2021-11-30,2021-12-01,SELL,MRNA,Moderna,2021-07-21,330.0,,,1.093858147422161
Top1 PIT S&P membership,2021-11-30,2021-12-01,BUY,TSLA,"Tesla, Inc.",2020-12-21,386.8999938964844,0.840957230808149,0,1.093858147422161
Top1 PIT S&P membership,2022-01-31,2022-02-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,311.7366638183594,,,0.8813535666768434
Top1 PIT S&P membership,2022-01-31,2022-02-01,BUY,DVN,Devon Energy,2000-08-30,40.99303842787647,0.7764722643102326,1,0.8813535666768434
Top1 PIT S&P membership,2022-02-28,2022-03-01,SELL,DVN,Devon Energy,2000-08-30,48.91770761224288,,,1.0517345805815306
Top1 PIT S&P membership,2022-02-28,2022-03-01,BUY,APA,APA Corporation,1997-07-28,31.60517965947619,0.769144965413536,0,1.0517345805815306
Top1 PIT S&P membership,2022-04-29,2022-05-02,SELL,APA,APA Corporation,1997-07-28,35.20549644308862,,,1.1715433493710457
Top1 PIT S&P membership,2022-04-29,2022-05-02,BUY,CF,CF Industries,2008-08-27,87.8811997683611,0.7697676075160873,0,1.1715433493710457
Top1 PIT S&P membership,2022-05-31,2022-06-01,SELL,CF,CF Industries,2008-08-27,90.68659160278251,,,1.2089419983956289
Top1 PIT S&P membership,2022-05-31,2022-06-01,BUY,OXY,Occidental Petroleum,1957-03-04,66.49222933297165,0.8376390751544469,1,1.2089419983956289
Top1 PIT S&P membership,2022-08-31,2022-09-01,SELL,OXY,Occidental Petroleum,1957-03-04,65.30665209080266,,,1.1873861845091278
Top1 PIT S&P membership,2022-08-31,2022-09-01,BUY,EPAM,EPAM Systems,2021-12-14,421.0,0.4860300578915362,2,1.1873861845091278
Top1 PIT S&P membership,2022-09-30,2022-10-03,SELL,EPAM,EPAM Systems,2021-12-14,365.8599853515625,,,1.0318695773661697
Top1 PIT S&P membership,2022-09-30,2022-10-03,BUY,CEG,Constellation Energy,2022-02-02,82.59680265111157,0.4566681544445226,2,1.0318695773661697
Top1 PIT S&P membership,2022-11-30,2022-12-01,SELL,CEG,Constellation Energy,2022-02-02,94.36842722864408,,,1.1789307333414156
Top1 PIT S&P membership,2022-11-30,2022-12-01,BUY,DXCM,Dexcom,2020-05-12,116.38999938964844,0.7020256640086218,1,1.1789307333414156
Top1 PIT S&P membership,2022-12-30,2023-01-03,SELL,DXCM,Dexcom,2020-05-12,114.3000030517578,,,1.1577608654126301
Top1 PIT S&P membership,2022-12-30,2023-01-03,BUY,FSLR,First Solar,2022-12-19,151.00999450683594,1.5316213487358659,0,1.1577608654126301
Top1 PIT S&P membership,2023-01-31,2023-02-01,SELL,FSLR,First Solar,2022-12-19,177.39999389648438,,,1.3600872652736347
Top1 PIT S&P membership,2023-01-31,2023-02-01,BUY,PCG,PG&E Corporation,2022-10-03,15.574228908496174,0.4977084634897635,0,1.3600872652736347
Top1 PIT S&P membership,2023-02-28,2023-03-01,SELL,PCG,PG&E Corporation,2022-10-03,15.317942469581688,,,1.337705937512376
Top1 PIT S&P membership,2023-02-28,2023-03-01,BUY,WYNN,Wynn Resorts,2008-11-14,106.65698007901824,0.6523345066860791,0,1.337705937512376
Top1 PIT S&P membership,2023-03-31,2023-04-03,SELL,WYNN,Wynn Resorts,2008-11-14,111.86517317375188,,,1.4030277835029012
Top1 PIT S&P membership,2023-03-31,2023-04-03,BUY,NVDA,Nvidia,2001-11-30,27.48466960367856,0.9083440899136019,1,1.4030277835029012
Top1 PIT S&P membership,2023-05-31,2023-06-01,SELL,NVDA,Nvidia,2001-11-30,38.45495609590561,,,1.9630351244505662
Top1 PIT S&P membership,2023-05-31,2023-06-01,BUY,META,Meta Platforms,2013-12-23,263.8295904214734,1.2355214284760017,0,1.9630351244505662
Top1 PIT S&P membership,2023-06-30,2023-07-03,SELL,META,Meta Platforms,2013-12-23,284.4676665294726,,,2.1165935946599377
Top1 PIT S&P membership,2023-06-30,2023-07-03,BUY,NVDA,Nvidia,2001-11-30,42.48378258219759,1.6959547825850376,2,2.1165935946599377
Top1 PIT S&P membership,2023-11-30,2023-12-01,SELL,NVDA,Nvidia,2001-11-30,46.49249632095064,,,2.3163125769763937
Top1 PIT S&P membership,2023-11-30,2023-12-01,BUY,MPC,Marathon Petroleum,2011-07-01,141.9306795546502,0.43588910865450003,4,2.3163125769763937
Top1 PIT S&P membership,2023-12-29,2024-01-02,SELL,MPC,Marathon Petroleum,2011-07-01,142.1691560297636,,,2.3202045195807073
Top1 PIT S&P membership,2023-12-29,2024-01-02,BUY,KEY,KeyCorp,1994-03-01,12.82821430983199,0.39594300269812366,6,2.3202045195807073
Top1 PIT S&P membership,2024-01-31,2024-02-01,SELL,KEY,KeyCorp,1994-03-01,13.052483324989105,,,2.3607674514121975
Top1 PIT S&P membership,2024-01-31,2024-02-01,BUY,INTC,Intel,1976-12-31,42.57974063356224,0.41331318681258944,6,2.3607674514121975
Top1 PIT S&P membership,2024-02-29,2024-03-01,SELL,INTC,Intel,1976-12-31,42.96185895503192,,,2.381953407044882
Top1 PIT S&P membership,2024-02-29,2024-03-01,BUY,AMD,Advanced Micro Devices,2017-03-20,197.91000366210935,0.6244335397754945,2,2.381953407044882
Top1 PIT S&P membership,2024-03-28,2024-04-01,SELL,AMD,Advanced Micro Devices,2017-03-20,180.10000610351562,,,2.167600501283831
Top1 PIT S&P membership,2024-03-28,2024-04-01,BUY,SMCI,Supermicro,2024-03-18,101.0,2.1705366252933804,0,2.167600501283831
Top1 PIT S&P membership,2024-07-31,2024-08-01,SELL,SMCI,Supermicro,2024-03-18,70.45600128173828,,,1.5120837989777236
Top1 PIT S&P membership,2024-07-31,2024-08-01,BUY,VST,Vistra Corp.,2024-05-08,78.62466178450363,1.131203239610326,1,1.5120837989777236
Top1 PIT S&P membership,2024-08-30,2024-09-03,SELL,VST,Vistra Corp.,2024-05-08,84.08526085347886,,,1.6171002556149674
Top1 PIT S&P membership,2024-08-30,2024-09-03,BUY,MMM,3M,1957-03-04,129.27460604186214,0.6580514637943369,1,1.6171002556149674
Top1 PIT S&P membership,2024-09-30,2024-10-01,SELL,MMM,3M,1957-03-04,132.18064732179636,,,1.6534520205941432
Top1 PIT S&P membership,2024-09-30,2024-10-01,BUY,HWM,Howmet Aerospace,2016-10-21,99.54228521162896,0.4688255780936972,2,1.6534520205941432
Top1 PIT S&P membership,2024-10-31,2024-11-01,SELL,HWM,Howmet Aerospace,2016-10-21,100.15956044692318,,,1.6637053012264895
Top1 PIT S&P membership,2024-10-31,2024-11-01,BUY,FICO,Fair Isaac,2023-03-20,1995.25,0.6631570556348803,2,1.6637053012264895
Top1 PIT S&P membership,2024-11-29,2024-12-02,SELL,FICO,Fair Isaac,2023-03-20,2376.669921875,,,1.9817458204681027
Top1 PIT S&P membership,2024-11-29,2024-12-02,BUY,PLTR,Palantir Technologies,2024-09-23,67.44000244140625,1.0152213105033319,2,1.9817458204681027
Top1 PIT S&P membership,2025-06-30,2025-07-01,SELL,PLTR,Palantir Technologies,2024-09-23,135.27000427246094,,,3.974951896458762
Top1 PIT S&P membership,2025-06-30,2025-07-01,BUY,NRG,NRG Energy,2010-01-29,158.44766491220574,0.6743176004319931,0,3.974951896458762
Top1 PIT S&P membership,2025-07-31,2025-08-01,SELL,NRG,NRG Energy,2010-01-29,160.75911121351254,,,4.03293878988526
Top1 PIT S&P membership,2025-07-31,2025-08-01,BUY,SMCI,Supermicro,2024-03-18,57.11000061035156,0.6978418006579119,1,4.03293878988526
Top1 PIT S&P membership,2025-08-29,2025-09-02,SELL,SMCI,Supermicro,2024-03-18,40.02999877929688,,,2.826799739288117
Top1 PIT S&P membership,2025-08-29,2025-09-02,BUY,GEV,GE Vernova,2024-04-02,589.5130796123608,0.9723164798838437,1,2.826799739288117
Top1 PIT S&P membership,2025-09-30,2025-10-01,SELL,GEV,GE Vernova,2024-04-02,598.5871748160569,,,2.87031132680531
Top1 PIT S&P membership,2025-09-30,2025-10-01,BUY,HOOD,Robinhood Markets,2025-09-22,141.25999450683594,1.499519496613929,0,2.87031132680531
Top1 PIT S&P membership,2025-11-28,2025-12-01,SELL,HOOD,Robinhood Markets,2025-09-22,123.4499969482422,,,2.508423745673252
Top1 PIT S&P membership,2025-11-28,2025-12-01,BUY,SNDK,Sandisk,2025-11-28,211.83999633789065,4.422128099138006,0,2.508423745673252
