date,equity,exposure,units,held,base_allocation
2023-10-04,218.10918973755398,1.0,1.0,TQQQ,TQQQ
2023-10-05,215.80311662649711,1.0,1.0,TQQQ,TQQQ
2023-10-06,226.66603810288026,1.0,1.0,TQQQ,TQQQ
2023-10-09,230.00383002078698,1.0,1.0,TQQQ,TQQQ
2023-10-10,233.76645433371286,1.0,1.0,TQQQ,TQQQ
2023-10-11,238.74275621640007,1.0,1.0,TQQQ,TQQQ
2023-10-12,235.9511739758786,1.0,1.0,TQQQ,TQQQ
2023-10-13,227.03016994997876,1.0,1.0,TQQQ,TQQQ
2023-10-16,234.67670060429637,1.0,1.0,TQQQ,TQQQ
2023-10-17,232.43130422768508,1.0,1.0,TQQQ,TQQQ
2023-10-18,222.6000063042516,1.0,1.0,TQQQ,TQQQ
2023-10-19,216.65268616263506,1.0,1.0,TQQQ,TQQQ
2023-10-20,206.8820887871222,1.0,1.0,TQQQ,TQQQ
2023-10-23,208.70267658218944,1.0,1.0,TQQQ,TQQQ
2023-10-24,214.58931998936043,1.0,1.0,TQQQ,TQQQ
2023-10-25,198.8713905654935,1.0,1.0,TQQQ,TQQQ
2023-10-26,187.2801815814383,1.0,1.0,TQQQ,TQQQ
2023-10-27,187.2801815814383,0.0,0.0,CASH,TQQQ
2023-10-30,187.2801815814383,0.0,0.0,CASH,TQQQ
2023-10-31,187.2801815814383,0.0,0.0,CASH,TQQQ
2023-11-01,187.2801815814383,0.0,0.0,CASH,TQQQ
2023-11-02,187.2801815814383,0.0,0.0,CASH,TQQQ
2023-11-03,187.2801815814383,0.0,0.0,CASH,TQQQ
2023-11-06,189.42307762707856,1.0,1.0,TQQQ,TQQQ
2023-11-07,194.75538488306205,1.0,1.0,TQQQ,TQQQ
2023-11-08,195.10424934487352,1.0,1.0,TQQQ,TQQQ
2023-11-09,190.4696123469644,1.0,1.0,TQQQ,TQQQ
2023-11-10,203.17754791356583,1.0,1.0,TQQQ,TQQQ
2023-11-13,201.3336701686856,1.0,1.0,TQQQ,TQQQ
2023-11-14,213.9917400190528,1.0,1.0,TQQQ,TQQQ
2023-11-15,214.58977662057285,1.0,1.0,TQQQ,TQQQ
2023-11-16,214.9385824168358,1.0,1.0,TQQQ,TQQQ
2023-11-17,215.08814045517292,1.0,1.0,TQQQ,TQQQ
2023-11-20,222.76272840100236,1.0,1.0,TQQQ,TQQQ
2023-11-21,218.7260693390648,1.0,1.0,TQQQ,TQQQ
2023-11-22,221.26771511793362,1.0,1.0,TQQQ,TQQQ
2023-11-24,220.1712951266307,1.0,1.0,TQQQ,TQQQ
2023-11-27,219.52347102960775,1.0,1.0,TQQQ,TQQQ
2023-11-28,221.26771511793365,1.0,1.0,TQQQ,TQQQ
2023-11-29,220.47033298257358,1.0,1.0,TQQQ,TQQQ
2023-11-30,218.62641612732767,1.0,1.0,TQQQ,TQQQ
2023-12-01,220.47033298257358,1.0,1.0,TQQQ,TQQQ
2023-12-04,214.1910855528929,1.0,1.0,TQQQ,TQQQ
2023-12-05,215.73598410737875,1.0,1.0,TQQQ,TQQQ
2023-12-06,211.898690134464,1.0,1.0,TQQQ,TQQQ
2023-12-07,220.7693121729679,1.0,1.0,TQQQ,TQQQ
2023-12-08,223.410591608391,1.0,1.0,TQQQ,TQQQ
2023-12-11,229.09176332618594,1.0,1.0,TQQQ,TQQQ
2023-12-12,234.62345522637514,1.0,1.0,TQQQ,TQQQ
2023-12-13,242.89606021854183,1.0,1.0,TQQQ,TQQQ
2023-12-14,242.49742781641032,1.0,1.0,TQQQ,TQQQ
2023-12-15,245.3878598363592,1.0,1.0,TQQQ,TQQQ
2023-12-18,250.5208802240512,1.0,1.0,TQQQ,TQQQ
2023-12-19,254.25846231968026,1.0,1.0,TQQQ,TQQQ
2023-12-20,242.96133541885163,1.0,1.0,TQQQ,TQQQ
2023-12-21,251.01998715559907,1.0,1.0,TQQQ,TQQQ
2023-12-22,252.0210756305718,1.0,1.0,TQQQ,TQQQ
