strategy,top_n,date,equity,daily_return,holdings
Nasdaq-100 Top1 PIT membership,1,2022-10-27,4.896192174418318,0.07841090889125901,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-28,4.707332297137432,-0.03857280730679713,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-31,4.93679707685144,0.04874624633012359,PDD
Nasdaq-100 Top1 PIT membership,1,2022-11-01,5.630857341991673,0.14058918248729935,PDD
Nasdaq-100 Top1 PIT membership,1,2022-11-02,5.597748585310332,-0.005879878439546848,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-03,5.448759724593476,-0.026615854293248198,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-04,5.62198936440964,0.03179249013941221,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-07,5.620214061002932,-0.00031577850679453956,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-08,5.295039819910729,-0.057857981486594046,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-09,5.143685240470341,-0.028584219304877534,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-10,5.3506151802175,0.04022989939567867,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-11,5.6338137517785825,0.05292822638565653,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-14,5.447621241857327,-0.03304910636466729,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-15,5.596245990291576,0.027282504020704756,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-16,5.584403628739388,-0.002116125983870787,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-17,5.3546566829913225,-0.04114082022397225,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-18,5.3362997042778515,-0.00342822701813561,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-21,5.570191467406985,0.04383032739739745,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-22,5.599206820421387,0.005209040512194507,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-23,5.686249755628625,0.015545583151130415,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-25,5.7200009369684155,0.005935578419921095,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-28,5.688618674585582,-0.005486408608783577,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-29,5.606905807933888,-0.014364272124049005,CEG
Nasdaq-100 Top1 PIT membership,1,2022-11-30,5.574337187042557,-0.005808662033388368,CEG
Nasdaq-100 Top1 PIT membership,1,2022-12-01,5.743687028530589,0.030380265098006953,CEG
Nasdaq-100 Top1 PIT membership,1,2022-12-02,5.738258649098336,-0.0009451036251258982,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-05,5.803398825785204,0.011351906679407664,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-06,5.715558324427172,-0.01513604423803272,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-07,5.739739047761648,0.004230684381459682,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-08,6.104425394163913,0.06353709521767947,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-09,6.003260928335912,-0.01657231586853669,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-12,5.823138353129747,-0.030004122318916915,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-13,5.946509928407919,0.021186440677966045,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-14,5.908018057161156,-0.006473018915326811,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-15,5.900615687344431,-0.0012529362207605033,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-16,5.6311722121169225,-0.04566362046004924,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-19,5.632652610780233,0.0002628935162247714,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-20,5.52655298074097,-0.018836530027823928,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-21,5.619328646310264,0.01678725706468409,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-22,5.614887073820162,-0.0007904098104350998,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-23,5.648937749076992,0.006064356203278498,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-27,5.499904675300865,-0.02638249532852044,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-28,5.452036820353075,-0.008703397199365304,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-29,5.473749961581919,0.0039825742092911565,DXCM
Nasdaq-100 Top1 PIT membership,1,2022-12-30,5.474243553303078,9.01743274033251e-05,DXCM
Nasdaq-100 Top1 PIT membership,1,2023-01-03,5.6405485723181155,0.030379543291363165,DXCM
Nasdaq-100 Top1 PIT membership,1,2023-01-04,5.643954862849241,0.0006038934843752841,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-05,5.8097311578861515,0.029372363717526495,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-06,5.896214553559238,0.014885954844174432,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-09,5.995756058011016,0.016882273117366342,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-10,5.886752595311607,-0.018180103000316028,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-11,6.178753304752911,0.0496030204622262,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-12,6.292298247526773,0.018376675224518024,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-13,6.244420320091096,-0.007608972994008423,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-17,6.265426199475363,0.0033639438582764303,NFLX
Nasdaq-100 Top1 PIT membership,1,2023-01-18,6.1834839229261584,-0.013078484039292682,NFLX
