date,same_close_equity,next_day_equity,same_exposure,next_exposure,allocation
2024-05-20,173103484.01189792,646.6531893706266,2.0,2.0,SOXL
2024-05-21,171166152.1533085,639.4160050217542,2.0,2.0,SOXL
2024-05-22,181154971.66378838,676.7306901152984,2.0,2.0,SOXL
2024-05-23,176972830.95514342,661.1076964876479,2.0,2.0,SOXL
2024-05-24,196044239.1819556,732.351710009696,2.0,2.0,SOXL
2024-05-28,215862093.88491127,760.1138872630199,2.0,0.75,SOXL
2024-05-29,206694746.35956836,727.8329617981971,0.75,0.75,SOXL
2024-05-30,200734701.13509795,706.8458905514456,1.5,1.5,SOXL
2024-05-31,192243631.3184691,676.9463376972027,1.5,1.5,SOXL
2024-06-03,192243631.3184691,676.9463376972027,1.5,1.5,SOXL
2024-06-04,193316911.01157156,656.0486910509178,0.75,1.5,TQQQ
2024-06-05,202069510.7808303,685.7518949344676,0.75,0.75,TQQQ
2024-06-06,201889785.20268452,685.1419703827358,0.75,0.75,TQQQ
2024-06-07,201327875.44442287,683.2350489475272,0.75,0.75,TQQQ
2024-06-10,202925096.22323847,688.6554469653631,0.75,0.75,TQQQ
2024-06-11,206066370.85440472,699.315813403169,0.75,0.75,TQQQ
2024-06-12,212160836.84982157,719.9982587103374,0.75,0.75,TQQQ
2024-06-13,214703738.8505653,728.6279617214662,0.75,0.75,TQQQ
2024-06-14,217038426.9827513,736.5510610774303,0.75,0.75,TQQQ
2024-06-17,222942128.0425805,756.5861181885228,0.75,0.75,TQQQ
2024-06-18,223029168.64847794,756.8815029806163,0.75,0.75,TQQQ
2024-06-20,219092037.65971157,743.5202837362142,0.75,0.75,TQQQ
2024-06-21,217582140.31856602,738.3962303406967,0.75,0.75,TQQQ
2024-06-24,212054815.27924842,719.6384592896156,0.75,0.75,TQQQ
2024-06-25,222675338.16534263,755.6807284384403,1.5,1.5,TQQQ
2024-06-26,224765175.14477983,762.7728902555071,1.5,1.5,TQQQ
2024-06-27,227210336.40323544,771.0708960255362,1.5,1.5,TQQQ
2024-06-28,221848177.80247593,752.8736409958138,1.5,1.5,TQQQ
2024-07-01,227302680.79275215,771.384279968779,1.5,1.5,TQQQ
2024-07-02,237754450.54910576,806.8538611447938,1.5,1.5,TQQQ
2024-07-03,246516876.56092632,836.590411793181,1.5,1.5,TQQQ
2024-07-05,257717959.4876513,874.6028947879607,1.5,1.5,TQQQ
